"Step","daily-durian-422 - metrics/evaluation/acc_reward","daily-durian-422 - metrics/evaluation/acc_reward__MIN","daily-durian-422 - metrics/evaluation/acc_reward__MAX","wise-fog-421 - metrics/evaluation/acc_reward","wise-fog-421 - metrics/evaluation/acc_reward__MIN","wise-fog-421 - metrics/evaluation/acc_reward__MAX","grateful-dragon-420 - metrics/evaluation/acc_reward","grateful-dragon-420 - metrics/evaluation/acc_reward__MIN","grateful-dragon-420 - metrics/evaluation/acc_reward__MAX","chocolate-vortex-419 - metrics/evaluation/acc_reward","chocolate-vortex-419 - metrics/evaluation/acc_reward__MIN","chocolate-vortex-419 - metrics/evaluation/acc_reward__MAX","gentle-silence-418 - metrics/evaluation/acc_reward","gentle-silence-418 - metrics/evaluation/acc_reward__MIN","gentle-silence-418 - metrics/evaluation/acc_reward__MAX","amber-flower-417 - metrics/evaluation/acc_reward","amber-flower-417 - metrics/evaluation/acc_reward__MIN","amber-flower-417 - metrics/evaluation/acc_reward__MAX","robust-snowball-416 - metrics/evaluation/acc_reward","robust-snowball-416 - metrics/evaluation/acc_reward__MIN","robust-snowball-416 - metrics/evaluation/acc_reward__MAX","misunderstood-frog-415 - metrics/evaluation/acc_reward","misunderstood-frog-415 - metrics/evaluation/acc_reward__MIN","misunderstood-frog-415 - metrics/evaluation/acc_reward__MAX","winter-cloud-414 - metrics/evaluation/acc_reward","winter-cloud-414 - metrics/evaluation/acc_reward__MIN","winter-cloud-414 - metrics/evaluation/acc_reward__MAX","laced-puddle-413 - metrics/evaluation/acc_reward","laced-puddle-413 - metrics/evaluation/acc_reward__MIN","laced-puddle-413 - metrics/evaluation/acc_reward__MAX"
"35","-22","-22","-22","-17","-17","-17","-21","-21","-21","-20","-20","-20","-16","-16","-16","-17","-17","-17","-27","-27","-27","-30","-30","-30","-21","-21","-21","-24","-24","-24"
"36","-19","-19","-19","-21","-21","-21","-18","-18","-18","-17","-17","-17","-19","-19","-19","-29","-29","-29","-20","-20","-20","-24","-24","-24","-20","-20","-20","-19","-19","-19"
"37","-37","-37","-37","-24","-24","-24","-28","-28","-28","-15","-15","-15","-25","-25","-25","-19","-19","-19","-28","-28","-28","-39","-39","-39","-17","-17","-17","-21","-21","-21"
"38","-21","-21","-21","-23","-23","-23","-16","-16","-16","-28","-28","-28","-31","-31","-31","-23","-23","-23","-18","-18","-18","-19","-19","-19","-16","-16","-16","-19","-19","-19"
"39","-22","-22","-22","-21","-21","-21","-30","-30","-30","-18","-18","-18","-22","-22","-22","-19","-19","-19","-18","-18","-18","-17","-17","-17","-20","-20","-20","-18","-18","-18"
"40","-23","-23","-23","-23","-23","-23","-16","-16","-16","-20","-20","-20","-21","-21","-21","-19","-19","-19","-16","-16","-16","-23","-23","-23","-31","-31","-31","-21","-21","-21"
"41","-24","-24","-24","-36","-36","-36","-30","-30","-30","-17","-17","-17","-33","-33","-33","-19","-19","-19","-29","-29","-29","-24","-24","-24","-17","-17","-17","-19","-19","-19"
"42","-18","-18","-18","-24","-24","-24","-17","-17","-17","-36","-36","-36","-27","-27","-27","-20","-20","-20","-19","-19","-19","-20","-20","-20","-27","-27","-27","-22","-22","-22"
"43","-21","-21","-21","-26","-26","-26","-30","-30","-30","-22","-22","-22","-31","-31","-31","-19","-19","-19","-19","-19","-19","-20","-20","-20","-36","-36","-36","-25","-25","-25"
"44","-26","-26","-26","-27","-27","-27","-19","-19","-19","-19","-19","-19","-16","-16","-16","-33","-33","-33","-18","-18","-18","-25","-25","-25","-23","-23","-23","-19","-19","-19"
"45","-22","-22","-22","-19","-19","-19","-21","-21","-21","-33","-33","-33","-17","-17","-17","-25","-25","-25","-18","-18","-18","-25","-25","-25","-35","-35","-35","-18","-18","-18"
"46","-26","-26","-26","-19","-19","-19","-23","-23","-23","-18","-18","-18","-25","-25","-25","-16","-16","-16","-24","-24","-24","-22","-22","-22","-17","-17","-17","-21","-21","-21"
"47","-21","-21","-21","-16","-16","-16","-28","-28","-28","-36","-36","-36","-36","-36","-36","-24","-24","-24","-23","-23","-23","-26","-26","-26","-44","-44","-44","-29","-29","-29"
"48","-23","-23","-23","-17","-17","-17","-19","-19","-19","-25","-25","-25","-39","-39","-39","-24","-24","-24","-17","-17","-17","-21","-21","-21","-24","-24","-24","-16","-16","-16"
"49","-19","-19","-19","-34","-34","-34","-19","-19","-19","-19","-19","-19","-27","-27","-27","-23","-23","-23","-37","-37","-37","-24","-24","-24","-24","-24","-24","-24","-24","-24"
